rs_school_emis_code,sc_total_exp_current_year,sc_balance,total_funds_available
31120068,50000,1110979,1160979
31120069,904745,846330,1751075
31120070,45070,823889,868959
31120072,45000,96624,141624
31120074,462973,1006875,1469848
31120075,48232,973640,1021872
31120077,204090,37462,241552
31120078,45000,247123,292123
31120079,185000,95007,280007
31120080,150303,540098,690401
31120081,100000,139885,239885
31120082,71845,907,72752
31120083,200000,146972,346972
31120084,121233,40778,162011
31120085,200325,1174924,1375249
31120086,203500,349943,553443
31120087,150000,198466,348466
31120088,61000,513638,574638
31120089,24000,70633,94633
31120090,50000,1031822,1081822
31120091,70035,13086,83121
31120092,0,91382,91382
31120093,19000,113728,132728
31120094,46108,48664,94772
31120095,50000,126399,176399
31120096,9300,214094,223394
31120097,94000,102327,196327
31120098,40000,1004940,1044940
31120099,120000,877685,997685
31120100,50000,1016697,1066697
31120101,0,212048,212048
31120102,0,192692,192692
31120103,70035,208663,278698
31120104,0,102634,102634
31120105,55000,114338,169338
31120106,81902,904927,986829
31120107,0,0,0
31120108,90000,901343,991343
31120109,30000,104217,134217
31120110,0,1206028,1206028
31120111,100000,1119315,1219315
31120112,124000,1302,125302
31120113,0,1000608,1000608
31120114,140350,44526,184876
31120115,57739,878990,936729
31120116,70,187699,187769
31120117,50000,1007716,1057716
31120118,80000,54622,134622
31120119,149230,861272,1010502
31120120,170878,85211,256089
31120121,13581,1003841,1017422
31120122,0,136911,136911
31120123,50000,986326,1036326
31120124,488217,154749,642966
31120125,158967,1113624,1272591
31120126,567175,159522,726697
31120127,0,901924,901924
31120128,50290,186781,237071
31120129,0,209995,209995
31120130,50000,166780,216780
31120131,100000,85127,185127
31120132,89430,181602,271032
31120133,59591,823083,882674
31120134,45000,873780,918780
31120135,37000,67862,104862
31120137,0,90147,90147
31120138,150000,79520,229520
31120139,289084,210651,499735
31120140,0,306869,306869
31120141,120000,51406,171406
31120142,0,137863,137863
31120143,15725,1223906,1239631
31120144,60000,1026409,1086409
31120145,0,59400,59400
31120146,55000,76998,131998
31120147,30105,89821,119926
31120149,225745,3229079,3454824
31120152,0,1748,1748
31120153,0,0,0
31120154,50000,183602,233602
31120155,0,156920,156920
31120156,93974,1018960,1112934
31120157,50035,439981,490016
31120158,185000,153963,338963
31120159,287192,852971,1140163
31120161,50035,848423,898458
31120162,15000,872417,887417
31120163,502325,423442,925767
31120169,532326,353754,886080
31120171,302620,829881,1132501
31120172,70420,1064229,1134649
31120175,35,107814,107849
31120176,41070,47819,88889
31120177,86700,983,87683
31120180,158000,864027,1022027
31120185,45000,945625,990625
31120187,0,0,0
31120188,15035,894083,909118
31120190,0,1796,1796
31120192,0,0,0
31120193,30035,955400,985435
31120194,100035,868564,968599
31120195,60035,147940,207975
31120196,80070,844140,924210
31120197,39608,972917,1012525
31120198,20035,927800,947835
31120199,55035,1107822,1162857
31120202,11470,1088100,1099570
31120203,0,0,0
31120205,10000,968990,978990
31120206,22035,830250,852285
31120207,50035,1081086,1131121
31120209,100035,890733,990768
31120210,78070,841027,919097
31120211,52000,821651,873651
31120212,45035,856779,901814
31120213,35070,860628,895698
31120217,35690,81655,117345
31120219,65035,44361,109396
31120220,75070,90034,165104
31120221,50035,929178,979213
31120223,125000,530466,655466
31120224,150070,866452,1016522
31120225,40070,917725,957795
31120226,290,79877,80167
31120227,40000,865598,905598
31120230,73035,48473,121508
31120231,108093,935269,1043362
31120234,314304,49279,363583
31120235,1123941,506,1124447
31120239,381480,1018480,1399960
31120241,0,0,0
31120243,398394,1088547,1486941
31120246,110105,1074664,1184769
31120247,0,945401,945401
31120248,182922,982323,1165245
31120251,35,1028219,1028254
31120252,115000,934919,1049919
31120253,96611,899984,996595
